Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,87759.00,1024.45,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87742.00,1023.51,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87781.00,1024.19,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88687.00,1034.58,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86791.00,1013.26,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85801.00,1001.45,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85624.00,999.06,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85901.00,1003.47,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85322.00,996.06,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85316.00,996.08,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87100.00,1016.64,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85517.00,998.45,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86516.00,1009.24,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88253.00,1030.74,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87092.00,1016.82,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85852.00,1002.25,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88501.00,1033.02,0.20,11.95,8.00,0.09,0.00,11.00
2025-03-24 07:46:46.870,87107.00,1016.71,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87524.00,1022.01,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88387.00,1032.41,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87521.00,1021.33,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87166.00,1017.14,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86976.00,1015.69,0.19,11.96,2.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87158.00,1017.67,0.19,11.96,3.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87618.00,1022.77,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86709.00,1012.54,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87272.00,1019.38,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87414.00,1020.12,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87526.00,1021.09,0.20,11.95,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,87375.00,1019.98,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86812.00,1013.53,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87186.00,1017.60,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87379.00,1020.02,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87146.00,1017.63,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86203.00,1006.13,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86099.00,1004.26,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86622.00,1011.81,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88599.00,1033.40,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,89049.00,1038.45,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,48601.00,567.50,0.20,11.96,0.00,0.00,0.00,0.00
